zip_code_id,postal_code,city,county_name,state_id,state_name,timezone,longitude,population,latitude
2620,48879,Saint Johns,Clinton,MI,Michigan,America/Detroit,-84.57907,17959,43.0043
2621,48880,Saint Louis,Midland,MI,Michigan,America/Detroit,-84.56831,9867,43.45761
2622,48881,Saranac,Ionia,MI,Michigan,America/Detroit,-85.20153,5874,42.93282
2623,48883,Shepherd,Isabella,MI,Michigan,America/Detroit,-84.6686,6913,43.54186
2624,48884,Sheridan,Montcalm,MI,Michigan,America/Detroit,-85.04324,4629,43.2083
2625,48885,Sidney,Montcalm,MI,Michigan,America/Detroit,-85.14445,833,43.24984
2626,48886,Six Lakes,Montcalm,MI,Michigan,America/Detroit,-85.16183,1912,43.41908
2627,48888,Stanton,Montcalm,MI,Michigan,America/Detroit,-85.09558,5978,43.31038
2628,48889,Sumner,Gratiot,MI,Michigan,America/Detroit,-84.7976,1327,43.29162
2629,48890,Sunfield,Eaton,MI,Michigan,America/Detroit,-84.96872,2129,42.76963
2630,48891,Vestaburg,Montcalm,MI,Michigan,America/Detroit,-84.9136,2750,43.39587
2631,48892,Webberville,Ingham,MI,Michigan,America/Detroit,-84.1745,4662,42.63649
2632,48893,Weidman,Isabella,MI,Michigan,America/Detroit,-84.97788,5429,43.683
2633,48894,Westphalia,Clinton,MI,Michigan,America/Detroit,-84.78564,1893,42.92452
2634,48895,Williamston,Ingham,MI,Michigan,America/Detroit,-84.2796,11418,42.68872
2635,48896,Winn,Isabella,MI,Michigan,America/Detroit,-84.90102,392,43.52128
2636,48897,Woodland,Barry,MI,Michigan,America/Detroit,-85.13211,1448,42.70682
2637,48906,Lansing,Ingham,MI,Michigan,America/Detroit,-84.58757,26086,42.78453
2638,48910,Lansing,Ingham,MI,Michigan,America/Detroit,-84.523,35288,42.69852
2639,48911,Lansing,Ingham,MI,Michigan,America/Detroit,-84.57088,40041,42.67443
2640,48912,Lansing,Ingham,MI,Michigan,America/Detroit,-84.52354,17697,42.7402
2641,48915,Lansing,Ingham,MI,Michigan,America/Detroit,-84.57099,10661,42.7382
2642,48917,Lansing,Eaton,MI,Michigan,America/Detroit,-84.63996,32264,42.72379
2643,48933,Lansing,Ingham,MI,Michigan,America/Detroit,-84.55428,2311,42.7325
2644,49001,Kalamazoo,Kalamazoo,MI,Michigan,America/Detroit,-85.56246,21070,42.26474
2645,49002,Portage,Kalamazoo,MI,Michigan,America/Detroit,-85.56095,21226,42.19737
2646,49004,Kalamazoo,Kalamazoo,MI,Michigan,America/Detroit,-85.56207,16374,42.35182
2647,49006,Kalamazoo,Kalamazoo,MI,Michigan,America/Detroit,-85.63014,29109,42.29534
2648,49007,Kalamazoo,Kalamazoo,MI,Michigan,America/Detroit,-85.58825,10463,42.30241
2649,49008,Kalamazoo,Kalamazoo,MI,Michigan,America/Detroit,-85.61511,16719,42.26285
2650,49009,Kalamazoo,Kalamazoo,MI,Michigan,America/Detroit,-85.69405,45263,42.30763
2651,49010,Allegan,Allegan,MI,Michigan,America/Detroit,-85.87431,17603,42.53463
